Абсолютный путь,Относительный путь,Имя классa
/home/cossieman2000/WORK/python/dataset/polar bear/0000.jpg,/python/dataset/polar bear/0000.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0001.jpg,/python/dataset/polar bear/0001.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0002.jpg,/python/dataset/polar bear/0002.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0003.jpg,/python/dataset/polar bear/0003.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0004.jpg,/python/dataset/polar bear/0004.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0005.jpg,/python/dataset/polar bear/0005.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0006.jpg,/python/dataset/polar bear/0006.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0007.jpg,/python/dataset/polar bear/0007.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0008.jpg,/python/dataset/polar bear/0008.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0009.jpg,/python/dataset/polar bear/0009.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0010.jpg,/python/dataset/polar bear/0010.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0011.jpg,/python/dataset/polar bear/0011.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0012.jpg,/python/dataset/polar bear/0012.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0013.jpg,/python/dataset/polar bear/0013.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0014.jpg,/python/dataset/polar bear/0014.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0015.jpg,/python/dataset/polar bear/0015.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0016.jpg,/python/dataset/polar bear/0016.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0017.jpg,/python/dataset/polar bear/0017.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0018.jpg,/python/dataset/polar bear/0018.jpg,polar bear
